id,title,scam_type,description,sample_text,indicators,risk_level,source,verified
"165","Romanized Sextortion Payment Threat","sextortion","A blackmailer threatens to share intimate material unless paid immediately.","Khnhom mean video private robos anak. Send 500 USDT within 2 hours, kom block, min doch nih khnhom send tov family.","Romanized Khmer|intimate-image threat|crypto demand|deadline","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/sextortion/financially-motivated-sextortion","true"
"166","CEO Confidential Wire Request","business_email_compromise","An attacker impersonates a chief executive and orders an urgent confidential wire transfer.","I am in a board meeting and cannot speak. Wire $38,500 to the attached beneficiary today and keep this confidential.","executive impersonation|urgent wire|secrecy request|cannot call","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"167","Vendor Invoice Bank Detail Change","business_email_compromise","A lookalike supplier email redirects a legitimate invoice payment to a new bank account.","Our banking details changed. Please pay invoice 7841 to the replacement account in the attachment before close of business.","supplier impersonation|bank detail change|lookalike sender|invoice urgency","CRITICAL","https://www.camcert.gov.kh/avoid-business-scams/","true"
"168","Home Purchase Wire Diversion","business_email_compromise","A fraudster impersonates a property professional and sends altered closing wire instructions.","Updated closing instructions: send the house deposit to this new escrow account today. Do not use the earlier details.","real-estate transaction|changed wire instructions|time pressure|email impersonation","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"169","Executive Gift Card Purchase","gift_card_scam","A spoofed manager requests gift cards and asks the employee to reveal their redemption codes.","I need twelve gift cards for client awards. Buy them now and email clear photos of every code; I will reimburse you.","executive impersonation|gift card request|code disclosure|urgency","CRITICAL","https://consumer.ftc.gov/avoiding-reporting-gift-card-scams","true"
"170","Employee Payroll Diversion","business_email_compromise","An attacker posing as an employee asks payroll to reroute salary to a new account.","Please update my direct-deposit account before today's payroll run. I am traveling and cannot complete phone verification.","employee impersonation|payroll change|new bank account|verification avoidance","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"171","Fake Attorney Settlement Transfer","business_email_compromise","A compromised legal email account supplies fraudulent settlement payment instructions.","The settlement account has changed. Transfer the funds using the attached instructions by noon to avoid delaying the case.","legal impersonation|changed payment details|attachment|deadline pressure","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise","true"
"172","Supplier Duplicate Invoice Refund","invoice_scam","A fraudster claims an invoice was paid twice and requests a refund to an unrelated account.","Your team paid invoice 442 twice. Refund the duplicate amount today to our alternate account shown below.","refund request|alternate account|invoice pretext|urgent transfer","HIGH","https://www.camcert.gov.kh/avoid-business-scams/","true"
"173","Fake Cloud Document Login","phishing","A business phishing email links to a counterfeit cloud document sign-in page.","A confidential contract has been shared with you. Sign in with your work email at https://document-view.example before access expires.","shared document lure|credential harvesting|work email request|expiring access","CRITICAL","https://www.camcert.gov.kh/spam-and-phishing/","true"
"174","IT Helpdesk Password Reset","phishing","An attacker impersonates internal IT and asks the employee to enter credentials on an external page.","IT notice: your company password expires in 20 minutes. Keep access by signing in at https://helpdesk-reset.example.","IT impersonation|password expiry|external link|urgency","CRITICAL","https://www.camcert.gov.kh/avoid-business-scams/","true"
"175","Fake Business Software Renewal","invoice_scam","A forged renewal notice pressures a company to pay for a service it did not order.","Final renewal notice: your security license ends today. Pay the attached invoice immediately to prevent system shutdown.","unexpected invoice|service shutdown threat|renewal pressure|attachment","HIGH","https://www.camcert.gov.kh/avoid-business-scams/","true"
"176","Bank Account Locked SMS","smishing","A text impersonating a bank claims an account is locked and links to a credential-harvesting page.","Security alert: your bank account is locked after an unusual login. Restore access now at https://bank-unlock.example.","bank impersonation|account lock claim|suspicious link|urgency","CRITICAL","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"177","Unauthorized Card Charge Alert","smishing","A fake fraud alert asks the recipient to sign in through a link to dispute a card transaction.","Did you approve a $786 card purchase? If not, cancel it immediately at https://card-dispute.example.","unexpected charge|bank impersonation|suspicious link|urgent cancellation","CRITICAL","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"178","Tax Refund Credential Trap","phishing","A fake tax refund notice collects identity and payment-card details through a link.","You qualify for a $640 tax refund. Submit your identity and card details at https://refund-claim.example within 48 hours.","unexpected refund|government impersonation|identity request|card details","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"179","Voucher Survey Phishing","phishing","A message promises a shopping voucher for completing a short survey that ends with a card request.","Complete this two-minute survey and receive a $200 shopping voucher. Pay only $1 delivery at https://voucher-survey.example.","voucher lure|survey pretext|small card charge|suspicious link","HIGH","https://www.scamshield.gov.sg/i-want-protection-from-scams/learn-to-recognise-scams/phishing-scams/","true"
"180","MFA Push Fatigue Call","account_takeover","An attacker floods the victim with login approvals and then calls pretending to resolve the issue.","This is the security desk. To stop the repeated login prompts, approve the next notification and tell me the number shown.","repeated MFA prompts|support impersonation|approval request|verification number","CRITICAL","https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-278a","true"
"181","Fake QR Parking Meter","qr_code_scam","A sticker covers a legitimate parking QR code and sends users to a counterfeit payment page.","Parking payment required. Scan this QR code, enter your card details, and pay now to avoid a citation.","tampered QR code|parking payment|card data request|penalty pressure","HIGH","https://www.fbi.gov/contact-us/field-offices/elpaso/news/fbi-tech-tuesday-building-a-digital-defense-against-qr-code-scams","true"
"182","QR Cryptocurrency Giveaway","qr_code_scam","A social post promises doubled cryptocurrency after payment through a QR code.","Limited crypto giveaway: scan the QR code and send 0.02 BTC. We will return 0.04 BTC within minutes.","crypto giveaway|QR payment|guaranteed doubling|time limit","CRITICAL","https://www.fbi.gov/contact-us/field-offices/elpaso/news/fbi-tech-tuesday-building-a-digital-defense-against-qr-code-scams","true"
"183","Unpaid Toll Text","government_impersonation","A text claims a toll balance is overdue and threatens penalties through a payment link.","Final notice: you owe $6.40 in unpaid road tolls. Pay at https://toll-settle.example today to avoid a $50 penalty.","unpaid toll claim|penalty threat|small payment|suspicious link","HIGH","https://consumer.ftc.gov/consumer-alerts/2025/01/got-text-about-unpaid-tolls-its-probably-scam","true"
"184","Package Address Update","delivery_scam","A fake postal message asks for address and card details to reschedule delivery.","We could not deliver your parcel because the address is incomplete. Update it and pay $0.45 at https://parcel-route.example.","delivery impersonation|address update|small fee|card harvesting","HIGH","https://consumer.ftc.gov/consumer-alerts/2025/04/think-text-message-usps-it-could-be-scam","true"
"185","Brushing Package QR Trap","qr_code_scam","An unexpected package contains a QR code promising sender details but leading to a malicious site.","Not sure who sent this gift? Scan the enclosed QR code to identify the sender and claim your bonus item.","unexpected package|QR code lure|unknown sender|bonus promise","MEDIUM","https://consumer.ftc.gov/consumer-alerts/2026/08/unexpected-package-you-got-could-be-brushing-scam","true"
"186","Fake Antivirus Popup","tech_support_scam","A browser popup claims the device is infected and urges the user to call a fake support number.","Critical virus alert! Your files and banking data are at risk. Call support immediately and do not close this window.","fake virus warning|support phone number|fear tactic|browser popup","HIGH","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-tech-support-scams","true"
"187","Remote Refund Overpayment","tech_support_scam","A fake support agent uses remote access and a fabricated refund error to demand repayment.","We refunded $5,000 instead of $500. Keep remote access open and return the difference by cryptocurrency today.","remote access|fake overpayment|crypto repayment|support impersonation","CRITICAL","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-tech-support-scams","true"
"188","Subscription Renewal Callback","tech_support_scam","A fake subscription invoice directs the recipient to call a number where remote access is requested.","Your computer protection plan renewed for $399. If this was not you, call the cancellation desk immediately for a refund.","unexpected renewal|callback number|refund lure|remote access risk","HIGH","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-tech-support-scams","true"
"189","Fake Operating System Update","malware_scam","A message impersonates a software vendor and links to a malicious update installer.","Your operating system is missing a critical patch. Download and run the update from https://urgent-patch.example now.","software impersonation|untrusted installer|urgent update|malware risk","CRITICAL","https://www.camcert.gov.kh/avoid-business-scams/","true"
"190","Government Secure Account Transfer","government_impersonation","An official impersonator says the victim's money is unsafe and must be moved to a protected account.","This is a federal investigator. Your bank account is linked to a crime. Transfer your funds to our secure account today.","government impersonation|account threat|safe account claim|urgent transfer","CRITICAL","https://www.fbi.gov/contact-us/field-offices/portland/news/fbi-warns-public-to-beware-of-scammers-impersonating-fbi-agents-and-other-government-officials","true"
"191","Cash Courier Protection Scam","government_impersonation","A fake official instructs the victim to withdraw cash or gold for collection by a courier.","Withdraw your savings in cash to protect it from hackers. An authorized courier will collect the sealed package this afternoon.","official impersonation|cash withdrawal|courier pickup|secrecy","CRITICAL","https://www.fbi.gov/contact-us/field-offices/portland/news/fbi-warns-public-to-beware-of-scammers-impersonating-fbi-agents-and-other-government-officials","true"
"192","Utility Gift Card Demand","gift_card_scam","A utility impersonator threatens shutoff and demands payment using gift cards.","Your electricity will be disconnected in one hour. Buy two gift cards and read the numbers to our billing agent.","utility impersonation|shutoff threat|gift card payment|urgency","HIGH","https://consumer.ftc.gov/avoiding-reporting-gift-card-scams","true"
"193","Grandchild Legal Emergency","family_emergency_scam","A caller impersonates a relative and asks for secret bail or legal payment.","Grandma, I was arrested after an accident. Please send bail money to my lawyer now and do not tell my parents.","family impersonation|legal emergency|secrecy request|urgent payment","HIGH","https://consumer.ftc.gov/articles/scammers-use-fake-emergencies-steal-your-money","true"
"194","Fake Immigration Consultant","immigration_scam","An unqualified consultant guarantees immigration approval in exchange for immediate fees and documents.","Your visa is guaranteed if you pay our express fee today. Send your passport scan and payment through this chat.","guaranteed visa|advance fee|passport request|unverified consultant","HIGH","https://consumer.ftc.gov/articles/how-avoid-immigration-scams-and-get-real-help","true"
"195","Scholarship Processing Fee","scholarship_scam","A student is told they won financial aid but must pay a processing charge first.","You were selected for a $12,000 scholarship. Pay the $95 processing fee within 24 hours to reserve your award.","unexpected scholarship|processing fee|deadline pressure|award guarantee","HIGH","https://consumer.ftc.gov/articles/how-avoid-scholarship-and-financial-aid-scams","true"
"196","Disaster Charity Crypto Appeal","charity_scam","A fraudulent relief appeal solicits cryptocurrency without verifiable charity information.","Families urgently need help after the flood. Donate cryptocurrency to this wallet now; no other payment method is available.","disaster appeal|crypto-only donation|urgency|unverified charity","HIGH","https://consumer.ftc.gov/consumer-alerts/2026/08/when-donating-support-those-need-not-scammer","true"
"197","Lottery Shipping and Tax Fee","prize_scam","A fake lottery winner notice requires multiple fees before the prize can supposedly be delivered.","You won $750,000 in an international lottery. Pay the tax and courier fee before your certified check can be released.","unexpected lottery|advance tax|courier fee|large prize","HIGH","https://consumer.ftc.gov/articles/fake-prize-sweepstakes-and-lottery-scams","true"
"198","Advance Fee Personal Loan","loan_scam","A lender promises approval regardless of credit but requires insurance or processing money upfront.","You are approved for a $20,000 loan with no credit check. Send the $350 insurance fee before funds are released.","guaranteed loan|no credit check|advance insurance fee|release promise","HIGH","https://consumer.ftc.gov/articles/phone-scams","true"
"199","Fake Check Mystery Shopper","fake_check_scam","A fake employer sends an overvalued check and tells the recruit to buy gift cards and report the codes.","Deposit this $2,400 check, keep $400 as your shopper fee, and use the balance to buy gift cards for evaluation.","fake check|mystery shopper job|gift card purchase|overpayment","CRITICAL","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-fake-check-scams","true"
"200","Online Buyer Overpayment","fake_check_scam","A buyer deliberately sends a fake check for too much and asks the seller to return the difference.","I accidentally sent $1,800 for the $800 item. Deposit the check and wire the extra $1,000 to my shipping agent.","check overpayment|refund request|shipping agent|marketplace buyer","CRITICAL","https://consumer.ftc.gov/articles/how-spot-avoid-and-report-fake-check-scams","true"
"201","Rental Deposit Before Viewing","rental_scam","A fake landlord copies a listing and asks for an application fee and deposit before a viewing.","The apartment is available below market price. Send the application fee and security deposit before I mail the keys.","below-market rent|deposit before viewing|remote landlord|key mailing","HIGH","https://consumer.ftc.gov/articles/rental-listing-scams","true"
"202","Recovery Agent Upfront Retainer","recovery_scam","A prior scam victim is contacted by someone promising recovery for an upfront retainer.","We located the money you lost to the investment platform. Pay our $300 retainer and we guarantee recovery within a week.","prior victim targeting|guaranteed recovery|upfront retainer|unsolicited contact","HIGH","https://consumer.ftc.gov/articles/refund-and-recovery-scams","true"
"203","Fake Government Refund Officer","recovery_scam","A fraudster claims to be a government refund official and asks for bank details and an administrative fee.","Your scam reimbursement is approved. Send your bank account number and pay the administrative charge to receive it.","government impersonation|refund promise|bank information request|advance fee","CRITICAL","https://consumer.ftc.gov/articles/refund-and-recovery-scams","true"
"204","Romance Customs Emergency","romance_scam","An online romantic partner claims a valuable package is held and asks the victim to pay customs charges.","I sent you gifts and documents for our future, but customs is holding the package. Please pay the release fee for me today.","online relationship|gift package story|customs fee|urgent money request","HIGH","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/romance-scams","true"
"205","Romance Money Mule Request","money_mule_scam","A romantic contact asks the victim to receive funds and forward them to another person.","My business account is frozen. Let my client send $8,000 to your account, then transfer it to my partner and keep $500.","romantic trust|receive and forward funds|commission offer|bank account use","CRITICAL","https://www.interpol.int/Crimes/Financial-crime/Money-mules-what-are-the-risks","true"
"206","Financial Sextortion Demand","sextortion","A blackmailer threatens to distribute intimate material unless paid in cryptocurrency.","I saved your private images and your contact list. Send 700 USDT within three hours or I will share everything.","intimate-image threat|crypto demand|contact-list threat|deadline","CRITICAL","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/sextortion/financially-motivated-sextortion","true"
"207","Sextortion Recovery Service","recovery_scam","A supposed removal service targets a sextortion victim and demands payment without providing legitimate help.","We can erase the images and identify the blackmailer. Pay our emergency removal fee now before the content spreads.","victim retargeting|removal guarantee|upfront fee|urgency","HIGH","https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/sextortion","true"
"208","Address Poisoning Token Scam","crypto_scam","A counterfeit crypto token or similar wallet address is used to trick a victim into transferring assets.","Your token claim is ready. Copy the recent wallet address shown in your history and send funds there to unlock it.","wallet address mimicry|token impersonation|unlock fee|crypto transfer","CRITICAL","https://www.fbi.gov/contact-us/field-offices/denver/news/fbi-warns-of-cryptocurrency-token-impersonation-scam","true"
"209","Fake Trading Withdrawal Penalty","investment_scam","A fraudulent platform shows large returns but demands repeated payments to unlock withdrawals.","Your trading profit is $24,600. Deposit $2,000 for verification today or your account and earnings will be frozen.","fake platform profits|withdrawal blocked|verification deposit|account threat","CRITICAL","https://consumer.ftc.gov/articles/investment-scams","true"
"210","Celebrity Crypto Giveaway","investment_scam","An impersonated celebrity account promises to multiply cryptocurrency sent by followers.","Official celebration giveaway: send any amount of cryptocurrency to the posted wallet and receive triple back instantly.","celebrity impersonation|crypto transfer|guaranteed multiplier|giveaway lure","CRITICAL","https://consumer.ftc.gov/articles/investment-scams","true"
